,54.37,54.37.XL,SM.54.26,SM.54.28,SM.54.45,SM.54.45.XL,52.42,52.42.XL,52.81,52.97,LP.22.20,LP.22.48,LP.22.48.XL,LP.22.50,LP.22.54,LP.22.54.XL,SM.52.91,NL.2,NL.2.XL,total_count
ID=maker-720_pilon-exonerate_est2genome-gene-4.59;Name=maker-720_pilon-exonerate_est2genome-gene-4.59,,,1,,,,1,1,,,1,1,1,,,,1,,,7
ID=maker-415_pilon-snap-gene-22.54;Name=maker-415_pilon-snap-gene-22.54,,,1,,1,1,,,,,1,,,,,,,,,4
ID=augustus-665_pilon-processed-gene-5.133;Name=augustus-665_pilon-processed-gene-5.133,,,1,,,,1,1,,,,1,1,1,,,,,,6
ID=evm-74938_pilon-processed-gene-0.90;Name=evm-74938_pilon-processed-gene-0.90,,,1,,1,1,1,1,,,,,,,1,,,,,6
ID=maker-358_pilon-augustus-gene-0.83;Name=maker-358_pilon-augustus-gene-0.83,,,1,1,1,,,,,,,,,,,,,,,3
ID=maker-358_pilon-exonerate_protein2genome-gene-21.46;Name=maker-358_pilon-exonerate_protein2genome-gene-21.46,,,1,,1,,,,,,,,,1,,,,,,3
ID=maker-358_pilon-augustus-gene-34.83;Name=maker-358_pilon-augustus-gene-34.83,,,1,,1,,,1,,1,,,,,,,,1,1,6
ID=snap-579_pilon-processed-gene-25.32;Name=snap-579_pilon-processed-gene-25.32,,,1,,,,,,,,,,,,,,1,,,2
ID=maker-763_pilon-snap-gene-1.195;Name=maker-763_pilon-snap-gene-1.195,,,1,,,,,,,1,1,,,1,1,,1,1,1,8
ID=snap-526_pilon-processed-gene-9.102;Name=snap-526_pilon-processed-gene-9.102,,,1,1,1,1,,,,,,,,,1,1,1,,1,8
ID=maker-526_pilon-augustus-gene-12.40;Name=maker-526_pilon-augustus-gene-12.40,,,1,1,,,,,1,,,,,,1,1,,,,5
ID=snap-605_pilon-processed-gene-3.101;Name=snap-605_pilon-processed-gene-3.101,,,1,,1,1,,,,,,,,,,,1,,,4
ID=augustus_masked-564_pilon-processed-gene-2.92;Name=augustus_masked-564_pilon-processed-gene-2.92,,,1,,,,,,1,1,,1,,,1,1,,1,,7
ID=augustus_masked-516_pilon-processed-gene-6.76;Name=augustus_masked-516_pilon-processed-gene-6.76,,,1,,1,,,,,,,,1,,,,1,,1,5
ID=augustus_masked-613_pilon-processed-gene-3.92;Name=augustus_masked-613_pilon-processed-gene-3.92,,,1,,,,,,,,,,,,,,,,,1
ID=augustus-303_pilon-processed-gene-9.63;Name=augustus-303_pilon-processed-gene-9.63,,,1,,,,,,1,,,,,,,,,,,2
ID=evm-880_pilon-processed-gene-7.0;Name=evm-880_pilon-processed-gene-7.0,,,1,,1,1,,,,,1,,,,,,,1,1,6
ID=snap-825_pilon-processed-gene-13.39;Name=snap-825_pilon-processed-gene-13.39,,,1,,1,,1,1,,1,1,1,1,1,,1,1,1,1,13
ID=snap-74004_pilon-processed-gene-3.84;Name=snap-74004_pilon-processed-gene-3.84,,,1,,1,1,,,,,,,,,,,,,,3
ID=maker-416_pilon-snap-gene-14.115;Name=maker-416_pilon-snap-gene-14.115,,,1,,1,1,,,,,,,,,,,,,,3
ID=snap-71765_pilon-processed-gene-0.204;Name=snap-71765_pilon-processed-gene-0.204,,,1,,,,1,1,1,,1,,,1,1,1,,1,,9
ID=maker-72163_pilon-snap-gene-0.145;Name=maker-72163_pilon-snap-gene-0.145,,,1,,,,,1,,,,1,,,,,,,,3
ID=augustus-346_pilon-processed-gene-17.66;Name=augustus-346_pilon-processed-gene-17.66,,,1,1,1,1,,,1,,,,,,1,1,,,,7
ID=augustus-705_pilon-processed-gene-2.57;Name=augustus-705_pilon-processed-gene-2.57,,,1,,,,1,1,,,1,,,1,,,,,,5
ID=maker-705_pilon-snap-gene-9.94;Name=maker-705_pilon-snap-gene-9.94,,,1,,1,1,1,,1,1,1,,,,1,,1,1,,10
ID=maker-705_pilon-exonerate_est2genome-gene-23.96;Name=maker-705_pilon-exonerate_est2genome-gene-23.96,,,1,,1,1,,,,,,1,1,,,,,,,5
ID=maker-714_pilon-exonerate_protein2genome-gene-27.26;Name=maker-714_pilon-exonerate_protein2genome-gene-27.26,,,1,,1,1,,,,,,,,,,,1,,1,5
ID=snap-419_pilon-processed-gene-1.0;Name=snap-419_pilon-processed-gene-1.0,,,,1,,,1,1,1,1,,1,1,1,,1,1,1,1,12
ID=maker-419_pilon-augustus-gene-4.1;Name=maker-419_pilon-augustus-gene-4.1,,,,1,,,,,,,,,,,,,,,,1
ID=maker-898_pilon-augustus-gene-8.31;Name=maker-898_pilon-augustus-gene-8.31,,,,1,1,,,,,,,,,1,,,1,,1,5
ID=snap-898_pilon-processed-gene-10.135;Name=snap-898_pilon-processed-gene-10.135,,,,1,,,,,,,,,,,,,,,1,2
ID=maker-826_pilon-snap-gene-2.95;Name=maker-826_pilon-snap-gene-2.95,,,,1,,,,,,,,,,,,,,,,1
ID=maker-984_pilon-exonerate_est2genome-gene-2.24;Name=maker-984_pilon-exonerate_est2genome-gene-2.24,,,,1,,,,,,,,,,,,,,,,1
ID=maker-314_pilon-augustus-gene-36.2;Name=maker-314_pilon-augustus-gene-36.2,,,,1,,,,,,,,1,1,1,,,,,,4
ID=maker-349_pilon-snap-gene-5.0;Name=maker-349_pilon-snap-gene-5.0,,,,1,,,,,1,1,,,1,,,,,1,1,6
ID=snap_masked-461_pilon-processed-gene-0.55;Name=snap_masked-461_pilon-processed-gene-0.55,,,,1,,,,,1,1,,,,,1,1,,,,5
ID=augustus_masked-380_pilon-processed-gene-20.82;Name=augustus_masked-380_pilon-processed-gene-20.82,,,,1,,,1,,1,,,1,1,1,,,1,,,7
ID=augustus_masked-992_pilon-processed-gene-2.193;Name=augustus_masked-992_pilon-processed-gene-2.193,,,,1,,,,,1,1,1,1,1,1,1,1,1,,,10
ID=snap-923_pilon-processed-gene-1.33;Name=snap-923_pilon-processed-gene-1.33,,,,1,,1,1,1,1,1,,1,1,,,1,1,,1,11
ID=snap-645_pilon-processed-gene-0.38;Name=snap-645_pilon-processed-gene-0.38,,,,1,,,,,,,1,,,,,,,1,1,4
ID=augustus-645_pilon-processed-gene-10.83;Name=augustus-645_pilon-processed-gene-10.83,,,,1,,,,,,,,,,1,,,,1,1,4
ID=augustus-881_pilon-processed-gene-1.131;Name=augustus-881_pilon-processed-gene-1.131,,,,1,,,1,1,,,,,,,,,1,,,4
ID=maker-72558_pilon-exonerate_protein2genome-gene-0.111;Name=maker-72558_pilon-exonerate_protein2genome-gene-0.111,,,,1,,,,,,,,,,,1,1,,,1,4
ID=snap-893_pilon-processed-gene-0.131;Name=snap-893_pilon-processed-gene-0.131,,,,1,,,,,,,,1,1,,,,1,1,,5
ID=snap_masked-377_pilon-processed-gene-24.24;Name=snap_masked-377_pilon-processed-gene-24.24,,,,1,,,,,,,,,,1,,,,,,2
ID=snap_masked-377_pilon-processed-gene-28.155;Name=snap_masked-377_pilon-processed-gene-28.155,,,,1,,,1,1,,,,,,,,,,,,3
ID=maker-377_pilon-snap-gene-39.50;Name=maker-377_pilon-snap-gene-39.50,,,,1,,,1,,,,,,,,,,,,,2
ID=augustus-572_pilon-processed-gene-1.210;Name=augustus-572_pilon-processed-gene-1.210,,,,1,,,,,1,,,1,1,1,,,1,,,6
ID=snap-385_pilon-processed-gene-8.19;Name=snap-385_pilon-processed-gene-8.19,,,,1,,,,,,,,,,,,,,1,,2
ID=snap-783_pilon-processed-gene-10.77;Name=snap-783_pilon-processed-gene-10.77,,,,1,,,,1,1,1,,1,1,1,1,1,1,1,,11
ID=snap-445_pilon-processed-gene-18.50;Name=snap-445_pilon-processed-gene-18.50,,,,1,,,,,,,,1,1,,,,,,,3
ID=maker-445_pilon-augustus-gene-24.40;Name=maker-445_pilon-augustus-gene-24.40,,,,1,,,,,1,,,,,,1,1,,,,4
ID=maker-445_pilon-augustus-gene-37.38;Name=maker-445_pilon-augustus-gene-37.38,,,,1,,,,,,,,,,,1,,,,,2
ID=snap-445_pilon-processed-gene-56.9;Name=snap-445_pilon-processed-gene-56.9,,,,1,,1,,,,,,,,,,,,1,1,4
ID=maker-445_pilon-augustus-gene-91.2;Name=maker-445_pilon-augustus-gene-91.2,,,,1,,,,,,,,,,,,,,,1,2
ID=augustus-920_pilon-processed-gene-2.111;Name=augustus-920_pilon-processed-gene-2.111,,,,1,,,1,,1,1,,1,1,,1,1,1,,,9
ID=maker-74701_pilon-snap-gene-0.136;Name=maker-74701_pilon-snap-gene-0.136,,,,1,,,,,,,,1,1,,,,1,,,4
ID=snap-432_pilon-processed-gene-1.25;Name=snap-432_pilon-processed-gene-1.25,,,,1,,,,,,,1,,,,,,,,,2
ID=snap-432_pilon-processed-gene-3.30;Name=snap-432_pilon-processed-gene-3.30,,,,1,,,,,,,,,,,,,,,,1
ID=snap-901_pilon-processed-gene-1.51;Name=snap-901_pilon-processed-gene-1.51,,,,1,,,,,,,,,1,1,,,,,,3
ID=augustus_masked-215_pilon-processed-gene-45.11;Name=augustus_masked-215_pilon-processed-gene-45.11,,,,1,,,1,,,,,,,,,,1,,,3
ID=snap_masked-215_pilon-processed-gene-19.24;Name=snap_masked-215_pilon-processed-gene-19.24,,,,1,,,,,,,1,,,,,,1,,,3
ID=augustus-453_pilon-processed-gene-0.96;Name=augustus-453_pilon-processed-gene-0.96,,,,1,,,1,1,,,1,,,1,,,,1,,6
ID=augustus-453_pilon-processed-gene-0.97;Name=augustus-453_pilon-processed-gene-0.97,,,,1,,,,,1,1,,,,,1,1,,1,1,7
ID=augustus-453_pilon-processed-gene-1.153;Name=augustus-453_pilon-processed-gene-1.153,,,,1,,,1,1,,,,1,1,1,,,,,,6
ID=maker-453_pilon-augustus-gene-9.80;Name=maker-453_pilon-augustus-gene-9.80,,,,1,,,1,1,1,1,,,,,1,1,1,,,8
ID=augustus_masked-453_pilon-abinit-gene-10.17;Name=augustus_masked-453_pilon-abinit-gene-10.17;score=0.1;target_length=1796764,,,,1,,,,,,,,,,1,,,,,,2
ID=augustus_masked-882_pilon-processed-gene-0.7;Name=augustus_masked-882_pilon-processed-gene-0.7,,,,1,,,,,,,,,,,,,1,,,2
ID=snap-693_pilon-processed-gene-0.49;Name=snap-693_pilon-processed-gene-0.49,,,,1,,,,,,,,,,,,,1,,,2
ID=maker-438_pilon-augustus-gene-9.42;Name=maker-438_pilon-augustus-gene-9.42,,,,1,,,,,,,1,,,,,,,1,1,4
ID=maker-438_pilon-augustus-gene-16.52;Name=maker-438_pilon-augustus-gene-16.52,,,,1,,,1,1,,,1,,,1,,,,,,5
ID=snap_masked-438_pilon-processed-gene-16.157;Name=snap_masked-438_pilon-processed-gene-16.157,,,,1,,,1,1,,,1,,,1,,,,,,5
ID=maker-718_pilon-augustus-gene-1.113;Name=maker-718_pilon-augustus-gene-1.113,,,,1,,,,,,,,,,1,,,1,,,3
ID=augustus-368_pilon-processed-gene-4.89;Name=augustus-368_pilon-processed-gene-4.89,,,,1,,,,,,,,,,,,,,,,1
ID=maker-532_pilon-augustus-gene-1.81;Name=maker-532_pilon-augustus-gene-1.81,,,,1,,,1,1,,,,1,1,,,,,1,1,7
ID=snap-216_pilon-processed-gene-30.31;Name=snap-216_pilon-processed-gene-30.31,,,,1,,,,,,,,,,,,,,,,1
ID=augustus-420_pilon-processed-gene-4.6;Name=augustus-420_pilon-processed-gene-4.6,,,,1,,,,,,,,,,,,,,,,1
ID=maker-72367_pilon-snap-gene-0.3;Name=maker-72367_pilon-snap-gene-0.3,,,,1,,,,,,,,,,,,,,1,,2
ID=snap-72367_pilon-processed-gene-0.39;Name=snap-72367_pilon-processed-gene-0.39,,,,1,,,,,,,,,,,,,,,,1
ID=maker-838_pilon-snap-gene-15.20;Name=maker-838_pilon-snap-gene-15.20,,,,1,,,1,,1,,1,,,,,1,,,,5
ID=maker-299_pilon-augustus-gene-16.17;Name=maker-299_pilon-augustus-gene-16.17,,,,1,,,,,1,,,1,,,,1,,,1,5
ID=maker-299_pilon-snap-gene-26.88;Name=maker-299_pilon-snap-gene-26.88,,,,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,13
ID=snap-299_pilon-processed-gene-30.51;Name=snap-299_pilon-processed-gene-30.51,,,,1,1,,,,,1,,,,,1,1,,,,5
ID=augustus-1040_pilon-processed-gene-3.8;Name=augustus-1040_pilon-processed-gene-3.8,,,,1,,,,,,,,,,,,,,1,1,3
ID=snap_masked-639_pilon-processed-gene-8.29;Name=snap_masked-639_pilon-processed-gene-8.29,,,,1,,,,1,1,1,1,,,,1,1,1,,,8
ID=augustus-345_pilon-processed-gene-21.22;Name=augustus-345_pilon-processed-gene-21.22,,,,1,,,,,1,1,,,,,1,1,,,,5
ID=maker-345_pilon-exonerate_est2genome-gene-84.2;Name=maker-345_pilon-exonerate_est2genome-gene-84.2,,,,1,,,,,,,,,,,1,,,,,2
ID=snap-316_pilon-processed-gene-59.145;Name=snap-316_pilon-processed-gene-59.145,,,,1,,,,,,,,,,,,,,,,1
ID=maker-267_pilon-snap-gene-9.52;Name=maker-267_pilon-snap-gene-9.52,,,,1,,,,,,1,,1,1,,,,,,,4
ID=snap-267_pilon-processed-gene-63.83;Name=snap-267_pilon-processed-gene-63.83,,,,1,,,,,,,,,,,,,,,,1
ID=augustus_masked-464_pilon-processed-gene-8.5;Name=augustus_masked-464_pilon-processed-gene-8.5,,,,1,,,,,,,,1,1,1,,,,1,1,6
ID=maker-464_pilon-exonerate_est2genome-gene-11.52;Name=maker-464_pilon-exonerate_est2genome-gene-11.52,,,,1,,,1,,,,,,,,,,,,1,3
ID=snap_masked-348_pilon-processed-gene-39.0;Name=snap_masked-348_pilon-processed-gene-39.0,,,,1,,,,,,,,,,1,,,1,1,,4
ID=maker-542_pilon-augustus-gene-10.0;Name=maker-542_pilon-augustus-gene-10.0,,,,1,,,,,,,,,,,,,,,,1
ID=snap-979_pilon-processed-gene-0.58;Name=snap-979_pilon-processed-gene-0.58,,,,1,,,,,,,,1,1,,,,,,,3
ID=augustus-414_pilon-processed-gene-1.53;Name=augustus-414_pilon-processed-gene-1.53,,,,1,,,,,,,,1,1,,,,1,1,,5
ID=maker-414_pilon-snap-gene-7.70;Name=maker-414_pilon-snap-gene-7.70,,,,1,,,,,,,,1,1,,,,,,,3
ID=augustus-897_pilon-processed-gene-1.33;Name=augustus-897_pilon-processed-gene-1.33,,,,1,,,1,1,1,1,1,,,1,1,1,,1,1,11
ID=maker-897_pilon-snap-gene-1.5;Name=maker-897_pilon-snap-gene-1.5,,,,1,,,1,,,,,,,1,,,1,,,4
ID=augustus-679_pilon-processed-gene-4.71;Name=augustus-679_pilon-processed-gene-4.71,,,,1,,,1,1,,,1,1,1,1,,,1,1,1,10
ID=snap-449_pilon-processed-gene-5.89;Name=snap-449_pilon-processed-gene-5.89,,,,1,,,,,,,,,,,,,,,,1
ID=augustus-449_pilon-processed-gene-9.29;Name=augustus-449_pilon-processed-gene-9.29,,,,1,,,,,,1,,,,,,,1,,,3
ID=augustus_masked-809_pilon-processed-gene-16.65;Name=augustus_masked-809_pilon-processed-gene-16.65,,,,1,,,,,,,1,,,1,,1,1,,1,6
ID=snap-818_pilon-processed-gene-0.73;Name=snap-818_pilon-processed-gene-0.73,,,,1,,,1,,1,1,1,1,,,,,,1,,7
ID=maker-818_pilon-exonerate_protein2genome-gene-3.16;Name=maker-818_pilon-exonerate_protein2genome-gene-3.16,,,,1,,,,,1,,,1,,,,1,,,1,5
ID=snap-266_pilon-processed-gene-25.196;Name=snap-266_pilon-processed-gene-25.196,,,,1,,,,,1,1,,,,,1,1,1,,,6
ID=snap-266_pilon-processed-gene-50.84;Name=snap-266_pilon-processed-gene-50.84,,,,1,,,,,,1,1,,,,,1,,1,1,6
ID=maker-266_pilon-augustus-gene-51.15;Name=maker-266_pilon-augustus-gene-51.15,,,,1,,,,,1,,,,,,1,,,,,3
ID=maker-74838_pilon-augustus-gene-4.168;Name=maker-74838_pilon-augustus-gene-4.168,,,,1,,,,,,,,,,,,,,,,1
ID=augustus-74838_pilon-processed-gene-4.24;Name=augustus-74838_pilon-processed-gene-4.24,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,13
ID=augustus-789_pilon-processed-gene-1.15;Name=augustus-789_pilon-processed-gene-1.15,,,,1,,,,,,,,,,,,,,1,,2
ID=maker-742_pilon-snap-gene-4.26;Name=maker-742_pilon-snap-gene-4.26,,,,1,,,,,,,,,,,,,,,,1
ID=snap-437_pilon-processed-gene-9.99;Name=snap-437_pilon-processed-gene-9.99,,,,1,,,1,1,,,,,,,,,1,,,4
ID=augustus-598_pilon-processed-gene-9.214;Name=augustus-598_pilon-processed-gene-9.214,,,,1,,,1,,,,,,,,,,,1,,3
ID=snap-499_pilon-processed-gene-1.43;Name=snap-499_pilon-processed-gene-1.43,,,,1,,,,,,,,,,,,,1,,,2
ID=augustus-980_pilon-processed-gene-0.17;Name=augustus-980_pilon-processed-gene-0.17,,,,1,,,,,,,,,,,,,,,,1
ID=maker-721_pilon-augustus-gene-9.107;Name=maker-721_pilon-augustus-gene-9.107,,,,1,,,,,,,,,,,,,,,,1
ID=augustus-361_pilon-processed-gene-49.157;Name=augustus-361_pilon-processed-gene-49.157,,,,1,,,,,,,1,1,1,1,,,1,1,,7
ID=snap-429_pilon-processed-gene-0.19;Name=snap-429_pilon-processed-gene-0.19,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,14
ID=augustus-72688_pilon-processed-gene-0.84;Name=augustus-72688_pilon-processed-gene-0.84,,,,1,,,,,,,,,,,,,,,,1
ID=snap_masked-338_pilon-processed-gene-5.27;Name=snap_masked-338_pilon-processed-gene-5.27,,,,1,,,,1,1,,,,,,,,,,,3
ID=maker-338_pilon-augustus-gene-5.63;Name=maker-338_pilon-augustus-gene-5.63,,,,1,,,,1,1,,,,,,,,,,,3
ID=augustus-71299_pilon-processed-gene-0.111;Name=augustus-71299_pilon-processed-gene-0.111,,,,1,,,1,1,1,,,,,1,1,1,,,,7
ID=maker-264_pilon-exonerate_est2genome-gene-8.36;Name=maker-264_pilon-exonerate_est2genome-gene-8.36,,,,1,,,,,,,,,,,,,,,,1
ID=augustus_masked-264_pilon-processed-gene-12.30;Name=augustus_masked-264_pilon-processed-gene-12.30,,,,1,,,1,1,1,1,,,1,1,1,1,1,,,10
ID=snap-264_pilon-processed-gene-16.42;Name=snap-264_pilon-processed-gene-16.42,,,,1,,,,,,,,,,,,,,,,1
ID=augustus-315_pilon-processed-gene-6.24;Name=augustus-315_pilon-processed-gene-6.24,,,,1,,,,,,,,,,,,,,,,1
ID=snap-656_pilon-processed-gene-14.38;Name=snap-656_pilon-processed-gene-14.38,,,,1,,,,,,,1,1,1,,,,,,1,5
ID=snap-656_pilon-processed-gene-17.17;Name=snap-656_pilon-processed-gene-17.17,,,,1,,,,,,,1,,1,1,,,,,,4
ID=maker-656_pilon-snap-gene-17.579;Name=maker-656_pilon-snap-gene-17.579,,,,1,,,1,,,,1,1,1,,,,,,,5
ID=snap-74581_pilon-processed-gene-2.22;Name=snap-74581_pilon-processed-gene-2.22,,,,1,,,,,,,1,,,1,,,,,1,4
ID=augustus-834_pilon-processed-gene-1.44;Name=augustus-834_pilon-processed-gene-1.44,,,,1,,,,,,,,,,,,,,,,1
ID=maker-834_pilon-snap-gene-4.34;Name=maker-834_pilon-snap-gene-4.34,,,,1,,,,,,,,,,,,,,,,1
ID=maker-434_pilon-snap-gene-2.96;Name=maker-434_pilon-snap-gene-2.96,,,,1,,,,,,,1,,,,,,1,1,1,5
ID=augustus-434_pilon-processed-gene-2.67;Name=augustus-434_pilon-processed-gene-2.67,,,,1,,,,,,,,1,1,,,,,1,1,5
ID=augustus-434_pilon-processed-gene-4.69;Name=augustus-434_pilon-processed-gene-4.69,,,,1,,,,,,,1,,,,,,,,,2
ID=evm-976_pilon-processed-gene-7.79;Name=evm-976_pilon-processed-gene-7.79,,,,1,,,,,,1,,1,,1,1,1,1,,1,8
ID=snap_masked-976_pilon-processed-gene-7.40;Name=snap_masked-976_pilon-processed-gene-7.40,,,,1,,,,,,,,,,,,,1,,1,3
ID=snap-482_pilon-processed-gene-7.40;Name=snap-482_pilon-processed-gene-7.40,,,,1,,,,,,,,,,,,,,,,1
ID=snap-360_pilon-processed-gene-70.55;Name=snap-360_pilon-processed-gene-70.55,,,,1,,,,,1,1,,,,,,,,,,3
ID=evm-360_pilon-processed-gene-74.49;Name=evm-360_pilon-processed-gene-74.49,,,,1,,,,1,,,,,,1,1,1,1,,1,7
ID=maker-360_pilon-exonerate_est2genome-gene-90.25;Name=maker-360_pilon-exonerate_est2genome-gene-90.25,,,,1,,,,,,,,,,,,,,,,1
ID=maker-327_pilon-snap-gene-9.28;Name=maker-327_pilon-snap-gene-9.28,,,,1,,,,,,,,,,,,,,,,1
ID=maker-745_pilon-exonerate_est2genome-gene-0.69;Name=maker-745_pilon-exonerate_est2genome-gene-0.69,,,,1,,,,1,1,,1,1,1,1,1,,,1,,9
ID=evm-71867_pilon-processed-gene-1.15;Name=evm-71867_pilon-processed-gene-1.15,,,,1,,,,,,,,1,1,,,,,,,3
ID=augustus_masked-973_pilon-processed-gene-0.13;Name=augustus_masked-973_pilon-processed-gene-0.13,,,,1,,,,,,,,1,1,,,,,,,3
ID=augustus-973_pilon-processed-gene-8.35;Name=augustus-973_pilon-processed-gene-8.35,,,,1,,,,,,,,,,,,,,,,1
ID=maker-973_pilon-augustus-gene-8.12;Name=maker-973_pilon-augustus-gene-8.12,,,,1,,,1,1,1,1,,,1,1,1,1,1,1,,11
ID=maker-973_pilon-snap-gene-8.20;Name=maker-973_pilon-snap-gene-8.20,,,,1,,,,,1,1,,,1,1,1,1,,1,,8
ID=augustus_masked-975_pilon-abinit-gene-17.0;Name=augustus_masked-975_pilon-abinit-gene-17.0;score=0.89;target_length=5055076,,,,1,,,,,,,,,,,,,1,1,1,4
ID=maker-975_pilon-snap-gene-20.98;Name=maker-975_pilon-snap-gene-20.98,,,,1,,,,,,,,,,,,,,,,1
ID=snap_masked-436_pilon-processed-gene-2.84;Name=snap_masked-436_pilon-processed-gene-2.84,,,,1,,,,,,,1,,,,,,,1,1,4
ID=snap-436_pilon-processed-gene-5.84;Name=snap-436_pilon-processed-gene-5.84,,,,1,,,,,,,,1,,1,,,,1,,4
ID=maker-436_pilon-snap-gene-5.56;Name=maker-436_pilon-snap-gene-5.56,,,,1,,,1,1,,1,,,,,,,,1,1,6
ID=maker-436_pilon-snap-gene-5.61;Name=maker-436_pilon-snap-gene-5.61,,,,1,,,,,,,,1,,1,,,,1,,4
ID=maker-436_pilon-snap-gene-5.65;Name=maker-436_pilon-snap-gene-5.65,,,,1,,,,,,,,1,1,1,,,,,,4
ID=maker-754_pilon-augustus-gene-7.89;Name=maker-754_pilon-augustus-gene-7.89,,,,1,,,,,1,,,,,,1,1,,,,4
ID=snap-261_pilon-processed-gene-54.37;Name=snap-261_pilon-processed-gene-54.37,,,,1,,,1,1,1,,,1,1,1,1,1,,,,9
ID=maker-261_pilon-snap-gene-72.23;Name=maker-261_pilon-snap-gene-72.23,,,,1,1,1,1,1,,,1,,,,,,,1,1,8
ID=snap_masked-460_pilon-processed-gene-1.48;Name=snap_masked-460_pilon-processed-gene-1.48,,,,1,,,,,,,,,,,,,,1,,2
ID=maker-768_pilon-exonerate_est2genome-gene-0.7;Name=maker-768_pilon-exonerate_est2genome-gene-0.7,,,,1,,,,,,,1,1,1,,1,,,,,5
ID=maker-768_pilon-snap-gene-1.94;Name=maker-768_pilon-snap-gene-1.94,,,,1,,,,,,,,,,,,,,,,1
ID=augustus-358_pilon-processed-gene-25.9;Name=augustus-358_pilon-processed-gene-25.9,,,,1,,,1,1,1,1,,,,1,1,1,1,1,1,11
ID=maker-579_pilon-snap-gene-26.94;Name=maker-579_pilon-snap-gene-26.94,,,,1,,,,,,,,1,1,,,,,1,,4
ID=maker-579_pilon-augustus-gene-26.33;Name=maker-579_pilon-augustus-gene-26.33,,,,1,,,,,,,,,,,,,,,,1
ID=augustus-579_pilon-processed-gene-37.16;Name=augustus-579_pilon-processed-gene-37.16,,,,1,,,,,,,,,,,,1,,,,2
ID=augustus-556_pilon-processed-gene-2.63;Name=augustus-556_pilon-processed-gene-2.63,,,,1,,,1,1,1,,1,1,1,1,1,1,1,1,,12
ID=maker-418_pilon-exonerate_protein2genome-gene-4.2;Name=maker-418_pilon-exonerate_protein2genome-gene-4.2,,,,1,,,1,1,1,,,,,,1,1,,,,6
ID=snap-522_pilon-processed-gene-4.62;Name=snap-522_pilon-processed-gene-4.62,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,14
ID=evm-777_pilon-processed-gene-1.78;Name=evm-777_pilon-processed-gene-1.78,,,,1,,,,,,,,,,,,,,,,1
ID=augustus-777_pilon-processed-gene-2.82;Name=augustus-777_pilon-processed-gene-2.82,,,,1,,,,,,,,,,1,,,,1,1,4
ID=maker-526_pilon-snap-gene-15.28;Name=maker-526_pilon-snap-gene-15.28,,,,1,,,,,,,1,,,1,,,1,,,4
ID=snap-526_pilon-processed-gene-16.66;Name=snap-526_pilon-processed-gene-16.66,,,,1,,,,,,,,,,,,,,1,1,3
ID=maker-381_pilon-snap-gene-1.61;Name=maker-381_pilon-snap-gene-1.61,,,,1,,,,,,1,,,,,,,,,,2
ID=snap_masked-265_pilon-processed-gene-13.68;Name=snap_masked-265_pilon-processed-gene-13.68,,,,1,,,,,,1,,,,,,,,1,,3
ID=snap-74004_pilon-processed-gene-0.47;Name=snap-74004_pilon-processed-gene-0.47,,,,1,,,,,,1,,1,1,1,,,,,,5
ID=maker-778_pilon-exonerate_protein2genome-gene-11.64;Name=maker-778_pilon-exonerate_protein2genome-gene-11.64,,,,1,,,,,1,,1,,,1,1,,,,,5
ID=snap_masked-916_pilon-processed-gene-3.135;Name=snap_masked-916_pilon-processed-gene-3.135,,,,1,,,,,,,,,,,,1,,1,,3
ID=maker-941_pilon-snap-gene-2.110;Name=maker-941_pilon-snap-gene-2.110,,,,1,,,1,1,,,,,,,,,,,,3
ID=maker-452_pilon-exonerate_protein2genome-gene-41.47;Name=maker-452_pilon-exonerate_protein2genome-gene-41.47,,,,1,,,,,,1,,,,,,,,,,2
ID=maker-350_pilon-augustus-gene-0.9;Name=maker-350_pilon-augustus-gene-0.9,,,,1,,,1,,,,,,,1,,,,1,1,5
ID=maker-350_pilon-snap-gene-7.46;Name=maker-350_pilon-snap-gene-7.46,,,,1,,,,,,,1,,,,,,,,,2
ID=maker-384_pilon-snap-gene-35.117;Name=maker-384_pilon-snap-gene-35.117,,,,1,,,,,,,,1,1,,,,,,,3
ID=maker-346_pilon-snap-gene-1.61;Name=maker-346_pilon-snap-gene-1.61,,,,1,,,,,,,1,,,,,,,,,2
ID=maker-769_pilon-augustus-gene-1.89;Name=maker-769_pilon-augustus-gene-1.89,,,,1,,,1,1,1,,,1,1,,,,,,,6
ID=maker-714_pilon-exonerate_protein2genome-gene-27.15;Name=maker-714_pilon-exonerate_protein2genome-gene-27.15,,,,1,,,1,1,,,,1,1,1,1,1,1,,1,10
ID=maker-936_pilon-augustus-gene-2.35;Name=maker-936_pilon-augustus-gene-2.35,,,,,1,1,,,,,,,,,,,,,,2
ID=augustus_masked-420_pilon-processed-gene-7.4;Name=augustus_masked-420_pilon-processed-gene-7.4,,,,,1,,,,,,,,,,,,,,,1
ID=maker-422_pilon-snap-gene-27.58;Name=maker-422_pilon-snap-gene-27.58,,,,,1,,,,,,,1,1,1,,,,,,4
ID=snap-316_pilon-processed-gene-39.73;Name=snap-316_pilon-processed-gene-39.73,,,,,1,,,,,,,,,1,,,,,,2
