tanoak	dnds	GO_annotations	signature_descriptions	interpro_descriptions
maker-73651_pilon-snap-gene-0.19	NA	GO:0005515	Domain of unknown function, Ankyrin repeats (3 copies)	PGG domain, Ankyrin repeat
augustus_masked-215_pilon-processed-gene-15.84	0.548720292198961	GO:0016787	alpha/beta hydrolase fold	Alpha/beta hydrolase fold-3
maker-215_pilon-augustus-gene-41.3	NA	GO:0016409	DHHC palmitoyltransferase	Palmitoyltransferase, DHHC domain
maker-215_pilon-augustus-gene-23.92	0.54032569218629	GO:0004672|GO:0006468|GO:0005515	Protein tyrosine and serine/threonine kinase, Leucine rich repeat N-terminal domain, Leucine rich repeat	Serine-threonine/tyrosine-protein kinase, catalytic domain, Leucine-rich repeat-containing N-terminal, plant-type, Leucine-rich repeat
evm-215_pilon-processed-gene-32.24	NA	GO:0016020|GO:0016765	UbiA prenyltransferase family	UbiA prenyltransferase family
maker-215_pilon-snap-gene-27.50	NA	GO:0003723	KH domain	K Homology domain, type 1
maker-215_pilon-snap-gene-31.24	NA	GO:0016409	DHHC palmitoyltransferase	Palmitoyltransferase, DHHC domain
maker-215_pilon-augustus-gene-47.108	NA	GO:0008289	PH domain, Protein ENHANCED DISEASE RESISTANCE 2, C-terminal, START domain	Pleckstrin homology domain, Protein ENHANCED DISEASE RESISTANCE 2, C-terminal, START domain
snap-215_pilon-processed-gene-14.154	0.350795708897009	GO:0016787	alpha/beta hydrolase fold	Alpha/beta hydrolase fold-3
maker-215_pilon-snap-gene-21.107	NA	GO:0003755	FKBP-type peptidyl-prolyl cis-trans isomerase, Nucleoplasmin-like domain	FKBP-type peptidyl-prolyl cis-trans isomerase domain, Nucleoplasmin-like domain
maker-215_pilon-snap-gene-0.59	0.511408542534104	GO:0004471|GO:0051287	Malic enzyme, N-terminal domain, Malic enzyme, NAD binding domain	Malic enzyme, N-terminal domain, Malic enzyme, NAD-binding
maker-215_pilon-snap-gene-18.25	NA	GO:0000413|GO:0003755	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD, Bacteroidetes VLRF1 release factor	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain, VLRF1/Vms1
maker-215_pilon-snap-gene-11.24	NA	GO:0005509|GO:0016746	EF-hand domain pair, EF-hand domain, Acyltransferase	EF-hand domain, Phospholipid/glycerol acyltransferase
maker-215_pilon-augustus-gene-22.69	NA	GO:0005515	WD domain, G-beta repeat	WD40 repeat
maker-215_pilon-snap-gene-17.17	NA	GO:0004497|GO:0005506|GO:0016705|GO:0020037	Cytochrome P450	Cytochrome P450
maker-215_pilon-augustus-gene-37.0	0.473351360489464	GO:0000145|GO:0006904	Sec8 exocyst complex component specific domain	Exocyst complex component Sec8, N-terminal
maker-215_pilon-snap-gene-49.81	0.56383268933014	GO:0003723	Casparian strip membrane protein domain, Dcp2, box A domain	Casparian strip membrane protein domain, mRNA decapping protein 2, Box A domain
maker-215_pilon-snap-gene-49.89	0.428885494270107	GO:0015267|GO:0016020|GO:0055085	Major intrinsic protein	Major intrinsic protein
augustus_masked-215_pilon-processed-gene-49.47	0.611683791635725	GO:0016747	Peptidase family M28, Acetyltransferase (GNAT) family	Peptidase M28, GNAT domain
augustus_masked-215_pilon-processed-gene-7.48	0.134469066886945	GO:0003700|GO:0006355	AP2 domain	AP2/ERF domain
evm-215_pilon-processed-gene-38.22	NA	GO:0016192	Sec1 family	Sec1-like protein
maker-215_pilon-augustus-gene-16.87	0.550573452922725	GO:0009055	Synaptotagmin-like mitochondrial-lipid-binding domain, C2 domain, Plastocyanin-like domain	Synaptotagmin, SMP domain, C2 domain, Phytocyanin domain
augustus-215_pilon-processed-gene-28.93	0.405694764397525	GO:0003677|GO:0006355	No apical meristem (NAM) protein	NAC domain
augustus-215_pilon-processed-gene-53.65	0.680452447554956	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
maker-448_pilon-snap-gene-0.103	NA	GO:0003735|GO:0005840|GO:0006412	Ribosomal protein L13	Ribosomal protein L13
maker-267543_pilon-augustus-gene-0.56	0.628069815887557	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
augustus-72289_pilon-processed-gene-2.12	0.591404414459371	GO:0008270	MULE transposase domain, SWIM zinc finger	MULE transposase domain, Zinc finger, SWIM-type
maker-453_pilon-augustus-gene-6.111	0.278309831585762	GO:0003676	R3H domain, SUZ domain	R3H domain, SUZ domain
augustus_masked-453_pilon-processed-gene-8.14	0.334173936142328	GO:0005515	F-box domain, F-box associated domain	F-box domain, F-box associated domain, type 3
snap-453_pilon-processed-gene-9.63	0.655486400320702	GO:0005515	F-box domain, F-box associated domain	F-box domain, F-box associated domain, type 3
augustus_masked-693_pilon-processed-gene-0.16	1.5930695218689	GO:0004857	Plant invertase/pectin methylesterase inhibitor	Pectinesterase inhibitor domain
augustus-706_pilon-processed-gene-0.15	0.542802540952209	GO:0005216|GO:0006811|GO:0016020|GO:0055085	Ion transport protein	Ion transport domain
snap_masked-628_pilon-processed-gene-4.94	0.509520520654529	GO:0048364|GO:0048367	Protein BPS1	Protein BPS1, chloroplastic
maker-628_pilon-augustus-gene-4.3	1.32924817093711	GO:0048364|GO:0048367	Protein BPS1	Protein BPS1, chloroplastic
maker-690_pilon-snap-gene-2.1	NA	GO:0005515	CTLH/CRA C-terminal to LisH motif domain, SPRY domain	CTLH/CRA C-terminal to LisH motif domain, SPRY domain
maker-690_pilon-snap-gene-2.20	NA	GO:0019787	Autophagocytosis associated protein, active-site domain	Ubiquitin-like-conjugating enzyme Atg3/Atg10
maker-446_pilon-snap-gene-0.7	0.548652997570972	GO:0004497|GO:0005506|GO:0016705|GO:0020037	Cytochrome P450	Cytochrome P450
maker-446_pilon-snap-gene-0.8	NA	GO:0016020	EamA-like transporter family	EamA domain
maker-73798_pilon-augustus-gene-0.18	NA	GO:0003723	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), Nuclear transport factor 2 (NTF2) domain	RNA recognition motif domain, Nuclear transport factor 2 domain
maker-674_pilon-augustus-gene-1.46	NA	GO:0005524|GO:0016887	ATPase family associated with various cellular activities (AAA)	ATPase, AAA-type, core
maker-674_pilon-augustus-gene-4.61	0.621925888697871	GO:0003735|GO:0005840|GO:0006412	Ribosomal protein L4/L1 family	Ribosomal protein L4/L1e
augustus-674_pilon-processed-gene-9.16	NA	GO:0006629	Eukaryotic aspartyl protease, Saposin-like type B, region 1	Peptidase family A1 domain, Saposin-like type B, region 1
snap-674_pilon-processed-gene-9.19	0.122610405823486	GO:0030247	Wall-associated receptor kinase galacturonan-binding	Wall-associated receptor kinase, galacturonan-binding domain
maker-351_pilon-augustus-gene-8.58	0.298476367819717	GO:0005515	WD domain, G-beta repeat	WD40 repeat
augustus-351_pilon-processed-gene-10.8	0.154648240800488	GO:0005515	Leucine Rich Repeat	Leucine-rich repeat
snap-351_pilon-processed-gene-15.5	0.121071544946907	GO:0006351|GO:0043565	Seed dormancy control	Transcription factor TGA like domain
evm-351_pilon-processed-gene-15.1	0.328348306902975	GO:0004672|GO:0006468	Protein tyrosine and serine/threonine kinase	Serine-threonine/tyrosine-protein kinase, catalytic domain
maker-351_pilon-augustus-gene-20.45	NA	GO:0016702	PCO_ADO	Cysteine oxygenase/2-aminoethanethiol dioxygenase
augustus-351_pilon-processed-gene-22.11	1.55718786956056	GO:0005515	WD domain, G-beta repeat	WD40 repeat
maker-351_pilon-snap-gene-29.0	NA	GO:0046983	Helix-loop-helix DNA-binding domain	Myc-type, basic helix-loop-helix (bHLH) domain
maker-351_pilon-snap-gene-35.99	NA	GO:0016788	GDSL-like Lipase/Acylhydrolase	GDSL lipase/esterase
maker-351_pilon-snap-gene-42.2	0.564157401481447	GO:0005515	IQ calmodulin-binding motif	IQ motif, EF-hand binding site
maker-71564_pilon-snap-gene-0.6	0.378596913517352	GO:0004559|GO:0006013	Glycosyl hydrolases family 38 N-terminal domain	Glycoside hydrolase family 38, N-terminal domain
maker-70584_pilon-augustus-gene-0.0	0.588697480969107	GO:0004144	WS/DGAT C-terminal domain	O-acyltransferase WSD1, C-terminal
snap-375_pilon-processed-gene-1.12	0.570907114232956	GO:0008270	PPR repeat family, DYW family of nucleic acid deaminases, E motif, PPR repeat	Pentatricopeptide repeat, DYW domain, E motif
augustus-375_pilon-processed-gene-3.3	0.651792873861137	GO:0005509	EF-hand domain pair	EF-hand domain
maker-375_pilon-snap-gene-5.46	0.701034032868139	GO:0003677|GO:0006355	No apical meristem (NAM) protein	NAC domain
augustus-375_pilon-processed-gene-6.82	0.829801280259544	GO:0000160	Response regulator receiver domain	Signal transduction response regulator, receiver domain
augustus-375_pilon-processed-gene-9.3	NA	GO:0005515|GO:0004672|GO:0005524|GO:0006468	Leucine rich repeat, Protein kinase domain, Leucine rich repeat N-terminal domain	Leucine-rich repeat, Protein kinase domain, Leucine-rich repeat-containing N-terminal, plant-type
maker-375_pilon-snap-gene-13.37	0.361660858215277	GO:0004143|GO:0007205|GO:0016301	Phorbol esters/diacylglycerol binding domain (C1 domain), Diacylglycerol kinase accessory domain, Diacylglycerol kinase catalytic domain	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain, Diacylglycerol kinase, accessory domain, Diacylglycerol kinase, catalytic domain
maker-375_pilon-snap-gene-13.39	NA	GO:0003735|GO:0005840|GO:0006412	Ribosomal protein S19e	Ribosomal protein S19e
maker-375_pilon-augustus-gene-21.81	1.30596866113789	GO:0003677	Homeodomain	Homeobox domain
maker-375_pilon-augustus-gene-22.47	NA	GO:0003677|GO:0005634|GO:0006260|GO:0003676	Replication factor-A C terminal domain, Replication protein A OB domain, Replication factor-A protein 1, N-terminal domain, OB-fold nucleic acid binding domain	Replication factor A, C-terminal, Replication protein A, OB domain, Replication factor-A protein 1, N-terminal, OB-fold nucleic acid binding domain, AA-tRNA synthetase-type
maker-375_pilon-augustus-gene-22.51	0.609764066076121	GO:0006629|GO:0008081	Glycerophosphoryl diester phosphodiesterase family	Glycerophosphodiester phosphodiesterase domain
maker-375_pilon-augustus-gene-26.54	NA	GO:0003677	SBP domain	SBP domain
maker-375_pilon-snap-gene-27.36	NA	GO:0005515	F-box domain	F-box domain
maker-375_pilon-augustus-gene-27.26	0.244785907805284	GO:0003700|GO:0005634|GO:0006355	K-box region	Transcription factor, K-box
augustus-643_pilon-processed-gene-0.63	0.165187903267624	GO:0004488	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain, Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain, Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
maker-643_pilon-snap-gene-1.101	0.138105759892642	GO:0003729|GO:0005849|GO:0006378	Nucleotide hydrolase	Cleavage/polyadenylation specificity factor subunit 5
snap_masked-883_pilon-processed-gene-4.47	0.197000497909381	GO:0004857	Plant invertase/pectin methylesterase inhibitor	Pectinesterase inhibitor domain
snap-883_pilon-processed-gene-8.20	0.346183915835599	GO:0005975|GO:0016868	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III, Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I, Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II	Alpha-D-phosphohexomutase, alpha/beta/alpha domain III, Alpha-D-phosphohexomutase, alpha/beta/alpha domain I, Alpha-D-phosphohexomutase, alpha/beta/alpha domain II
maker-648_pilon-augustus-gene-1.36	NA	GO:0005524	GHMP kinases N terminal domain, GHMP kinases C terminal	GHMP kinase N-terminal domain, GHMP kinase, C-terminal domain
maker-648_pilon-snap-gene-3.108	NA	GO:0000079|GO:0019901	Cyclin	Cyclin PHO80-like
evm-648_pilon-processed-gene-4.128	NA	GO:0004553|GO:0005975	Glycosyl hydrolases family 2, Exo-beta-D-glucosaminidase Ig-fold domain, Glycosyl hydrolases family 2, TIM barrel domain	Glycoside hydrolase, family 2, immunoglobulin-like beta-sandwich, Exo-beta-D-glucosaminidase, Ig-fold domain, Glycoside hydrolase family 2, catalytic domain
maker-451_pilon-augustus-gene-0.69	0.553068980114897	GO:0005515	WD domain, G-beta repeat	WD40 repeat
maker-451_pilon-snap-gene-6.5	1.40279668363943	GO:0003677	Homeodomain	Homeobox domain
maker-451_pilon-snap-gene-23.4	NA	GO:0046983	Thioredoxin, Hsp70-interacting protein N N-terminal domain	Thioredoxin domain, Hsp70-interacting protein, N-terminal
evm-451_pilon-processed-gene-33.76	0.742786371304339	GO:0016787	Calcineurin-like phosphoesterase	Calcineurin-like phosphoesterase domain, ApaH type
evm-451_pilon-processed-gene-33.78	0.435103031126704	GO:0016787	Calcineurin-like phosphoesterase	Calcineurin-like phosphoesterase domain, ApaH type
maker-73932_pilon-snap-gene-2.92	NA	GO:0015297|GO:0016020|GO:0042910|GO:0055085	MatE	Multi antimicrobial extrusion protein
augustus_masked-780_pilon-processed-gene-3.18	0	GO:0005509	EF-hand domain pair	EF-hand domain
augustus-780_pilon-processed-gene-8.23	0.383419050071488	GO:0003950|GO:0003677|GO:0008270	WGR domain, Lateral organ boundaries (LOB) domain, PADR1 (NUC008) domain, Poly(ADP-ribose) polymerase catalytic domain, Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region, BRCA1 C Terminus (BRCT) domain, Poly(ADP-ribose) polymerase, regulatory domain	WGR domain, Lateral organ boundaries, LOB, PADR1 domain, Poly(ADP-ribose) polymerase, catalytic domain, Zinc finger, PARP-type, BRCT domain, Poly(ADP-ribose) polymerase, regulatory domain
augustus-780_pilon-processed-gene-15.80	0	GO:0003779	Cofilin/tropomyosin-type actin-binding protein	Actin-depolymerising factor homology domain
maker-780_pilon-snap-gene-16.75	1.0316776746998	GO:0000123|GO:0016573	Histone acetyltransferase subunit NuA4	Chromatin modification-related protein Eaf6
maker-780_pilon-snap-gene-20.75	0.309436710466447	GO:0035091|GO:0043130	GAT domain, VHS domain	GAT domain, VHS domain
maker-780_pilon-snap-gene-23.2	0.123920763069113	GO:0003677|GO:0006355	No apical meristem (NAM) protein	NAC domain
maker-780_pilon-snap-gene-24.48	NA	GO:0006897|GO:0016020	Protein of unknown function (DUF1681)	NECAP, PHear domain
augustus-780_pilon-processed-gene-31.70	0.250225379850093	GO:0016614|GO:0050660	GMC oxidoreductase	Glucose-methanol-choline oxidoreductase, N-terminal, Glucose-methanol-choline oxidoreductase, C-terminal
augustus_masked-780_pilon-abinit-gene-31.64	NA	GO:0006629	Lipase (class 3)	Fungal lipase-like domain
maker-780_pilon-snap-gene-32.57	NA	GO:0006629|GO:0008374	Lecithin:cholesterol acyltransferase	Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase
maker-780_pilon-augustus-gene-36.62	0.726509606874368	GO:0008289	START domain	START domain
maker-438_pilon-snap-gene-1.10	NA	GO:0030247	Wall-associated receptor kinase galacturonan-binding, Wall-associated receptor kinase C-terminal	Wall-associated receptor kinase, galacturonan-binding domain, Wall-associated receptor kinase, C-terminal
maker-438_pilon-augustus-gene-1.60	NA	GO:0031072|GO:0051082	DnaJ domain, DnaJ central domain, DnaJ C terminal domain	DnaJ domain, Heat shock protein DnaJ, cysteine-rich domain, Chaperone DnaJ, C-terminal
maker-438_pilon-snap-gene-6.1	0.367431489799506	GO:0005524|GO:0016020|GO:0055085|GO:0140359	ABC transporter, ABC transporter transmembrane region 2	ABC transporter-like, ATP-binding domain, ABC transporter type 1, transmembrane domain
maker-438_pilon-augustus-gene-9.44	NA	GO:0005515	PLAT/LH2 domain	PLAT/LH2 domain
augustus_masked-438_pilon-processed-gene-11.44	NA	GO:0004553|GO:0071704	Cellulase (glycosyl hydrolase family 5)	Glycoside hydrolase, family 5
maker-438_pilon-augustus-gene-4.17	NA	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
augustus_masked-438_pilon-processed-gene-28.42	0.216928451001237	GO:0016020	Late exocytosis, associated with Golgi transport, Cytosolic domain of 10TM putative phosphate transporter, Calcium-dependent channel, 7TM region, putative phosphate	CSC1/OSCA1-like, N-terminal transmembrane domain, CSC1/OSCA1-like, cytosolic domain, CSC1/OSCA1-like, 7TM region
maker-438_pilon-augustus-gene-36.51	0.517805273828614	GO:0005737|GO:0006535|GO:0009001	Bacterial transferase hexapeptide (six repeats), Serine acetyltransferase, N-terminal	Hexapeptide repeat, Serine acetyltransferase, N-terminal
augustus_masked-438_pilon-processed-gene-15.103	NA	GO:0003755	FKBP-type peptidyl-prolyl cis-trans isomerase	FKBP-type peptidyl-prolyl cis-trans isomerase domain
evm-438_pilon-processed-gene-21.68	NA	GO:0015031|GO:0030906|GO:0042147	Vacuolar protein sorting-associated protein 35	Vacuolar protein sorting-associated protein 35
maker-438_pilon-augustus-gene-21.93	NA	GO:0046872	Heavy-metal-associated domain	Heavy metal-associated domain, HMA
maker-438_pilon-augustus-gene-42.33	NA	GO:0005515	Leucine rich repeat	Leucine-rich repeat
maker-438_pilon-augustus-gene-42.31	0.482860594153974	GO:0003677	Hsp20/alpha crystallin family, ARID/BRIGHT DNA binding domain	Alpha crystallin/Hsp20 domain, ARID DNA-binding domain
maker-438_pilon-augustus-gene-32.18	NA	GO:0005515	Ankyrin repeats (many copies), Ankyrin repeats (3 copies)	Ankyrin repeat
snap-438_pilon-processed-gene-32.121	0.27743906791234	GO:0004518	Bifunctional nuclease domain	Bifunctional nuclease domain
maker-438_pilon-augustus-gene-39.21	NA	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
maker-438_pilon-snap-gene-37.87	NA	GO:0016791	SacI homology domain	SAC domain
maker-438_pilon-snap-gene-41.34	0.580543524949999	GO:0016020|GO:0055085	Membrane transport protein	Membrane transport protein
maker-1020_pilon-snap-gene-0.2	0.500573579994478	GO:0070037|GO:0070475	EMG1/NEP1 methyltransferase	Ribosomal biogenesis, methyltransferase, EMG1/NEP1
snap_masked-55180_pilon-processed-gene-0.2	0.61220008377928	GO:0043531	NB-ARC domain	NB-ARC
augustus-368_pilon-processed-gene-0.27	NA	GO:0000166|GO:0004812|GO:0005524|GO:0006418	Anticodon binding domain of methionyl tRNA ligase, tRNA synthetases class I (M)	Methionyl-tRNA synthetase, anticodon-binding domain, Methionyl/Leucyl tRNA synthetase
maker-368_pilon-snap-gene-10.46	0.0544637887109517	GO:0003735|GO:0005840|GO:0006412	Ribosomal protein L13	Ribosomal protein L13
maker-368_pilon-augustus-gene-11.15	NA	GO:0008233	PPPDE putative peptidase domain	PPPDE peptidase domain
augustus_masked-368_pilon-processed-gene-11.40	NA	GO:0008270	Zinc finger, ZZ type	Zinc finger, ZZ-type
maker-786_pilon-augustus-gene-0.66	NA	GO:0005515	PDZ domain, Trypsin-like peptidase domain	PDZ domain, -
augustus-786_pilon-processed-gene-1.91	0.247925472942376	GO:0005524|GO:0016887	Domain associated at C-terminal with AAA, ATPase family associated with various cellular activities (AAA)	AAA-type ATPase, N-terminal domain, ATPase, AAA-type, core
maker-786_pilon-snap-gene-2.47	NA	GO:0046983	Helix-loop-helix DNA-binding domain	Myc-type, basic helix-loop-helix (bHLH) domain
maker-786_pilon-snap-gene-2.49	NA	GO:0003723	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	RNA recognition motif domain
augustus_masked-786_pilon-processed-gene-3.49	0.108163692010037	GO:0004616|GO:0006098|GO:0050661	6-phosphogluconate dehydrogenase, C-terminal domain, NAD binding domain of 6-phosphogluconate dehydrogenase	6-phosphogluconate dehydrogenase, C-terminal, 6-phosphogluconate dehydrogenase, NADP-binding
evm-71718_pilon-processed-gene-0.20	0.361495966870722	GO:0003924|GO:0005525	Ras family	Small GTPase
maker-913_pilon-snap-gene-3.50	NA	GO:0030599|GO:0042545|GO:0004857	Pectinesterase, Plant invertase/pectin methylesterase inhibitor	Pectinesterase, catalytic, Pectinesterase inhibitor domain
snap_masked-229649_pilon-processed-gene-0.2	0.409076477407151	GO:0008299	Polyprenyl synthetase	Polyprenyl synthetase
evm-1048_pilon-processed-gene-0.9	NA	GO:0005524|GO:0016887	Midasin AAA lid domain, AAA domain (dynein-related subfamily)	Midasin AAA lid domain 5, ATPase, dynein-related, AAA domain, Midasin, AAA lid domain 7
maker-489_pilon-snap-gene-0.17	0.194366261266928	GO:0003677	SBP domain	SBP domain
snap-489_pilon-processed-gene-3.66	NA	GO:0046983	Helix-loop-helix DNA-binding domain	Myc-type, basic helix-loop-helix (bHLH) domain
snap-69538_pilon-processed-gene-0.9	0.332726635889964	GO:0006511	Ubiquitin fusion degradation protein UFD1	Ubiquitin fusion degradation protein Ufd1-like
augustus-70992_pilon-processed-gene-0.15	0.273579449248393	GO:0005515	WD domain, G-beta repeat	WD40 repeat
augustus_masked-372_pilon-processed-gene-3.31	0.361718008596502	GO:0046872	IBR domain, a half RING-finger domain, Zinc finger, C3HC4 type (RING finger)	IBR domain, Zinc finger, C3HC4 RING-type
maker-372_pilon-snap-gene-6.2	0.686535453617402	GO:0005515	Ankyrin repeats (3 copies), Ankyrin repeat	Ankyrin repeat
maker-532_pilon-snap-gene-0.52	0.354696007281093	GO:0030599|GO:0042545	Pectinesterase	Pectinesterase, catalytic
maker-692_pilon-augustus-gene-0.98	NA	GO:0003729|GO:0005685|GO:0006376	LUC7 N_terminus	Luc7-related
snap-692_pilon-processed-gene-0.32	0.263646570232696	GO:0015267|GO:0016020|GO:0055085	Major intrinsic protein	Major intrinsic protein
maker-692_pilon-snap-gene-0.62	NA	GO:0007017|GO:0030286	Dynein light chain type 1	Dynein light chain, type 1/2
augustus-692_pilon-processed-gene-2.310	0.365586076895726	GO:0030246|GO:0004672|GO:0006468	Legume lectin domain, Protein tyrosine and serine/threonine kinase	Legume lectin domain, Serine-threonine/tyrosine-protein kinase, catalytic domain
augustus-74620_pilon-processed-gene-0.23	NA	GO:0005515	Rubisco LSMT substrate-binding, SET domain	Rubisco LSMT, substrate-binding domain, SET domain
maker-582_pilon-augustus-gene-1.27	NA	GO:0004386	AAA domain, DNA replication factor Dna2	DNA2/NAM7 helicase, helicase domain, DNA2/NAM7 helicase-like, C-terminal, DNA replication factor Dna2, N-terminal
augustus-455_pilon-processed-gene-11.4	0.675074255214742	GO:0003677|GO:0046983	SRF-type transcription factor (DNA-binding and dimerisation domain)	Transcription factor, MADS-box
snap-74627_pilon-processed-gene-0.5	0.113297828773751	GO:0004601|GO:0006979|GO:0020037	Peroxidase	Haem peroxidase
augustus-515_pilon-processed-gene-1.37	0.681887279964951	GO:0003723	Lsm interaction motif, RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	LSM-interacting domain, RNA recognition motif domain
maker-791_pilon-snap-gene-6.65	NA	GO:0005975|GO:0016301	FGGY family of carbohydrate kinases, C-terminal domain, FGGY family of carbohydrate kinases, N-terminal domain	Carbohydrate kinase, FGGY, C-terminal, Carbohydrate kinase, FGGY, N-terminal
snap-431_pilon-processed-gene-2.91	NA	GO:0009966	TAP42-like family	TAP46-like protein
maker-431_pilon-augustus-gene-4.103	0.26229196932219	GO:0003723	KH domain, Ribosomal protein L9, N-terminal domain	K Homology domain, type 1, Ribosomal protein L9, N-terminal
maker-431_pilon-snap-gene-5.121	0.359708116548223	GO:0004553|GO:0005975	Glycosyl hydrolases family 17	Glycoside hydrolase family 17
maker-431_pilon-snap-gene-6.71	NA	GO:0005515	SET domain, PHD-finger	SET domain, Zinc finger, PHD-finger
maker-431_pilon-augustus-gene-8.101	NA	GO:0006886	Vacuolar protein sorting-associated protein 26	Vacuolar protein sorting protein 26 related
maker-431_pilon-snap-gene-11.12	0.294644624581713	GO:0003723	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), Ataxin-2 C-terminal region	RNA recognition motif domain, Ataxin-2, C-terminal
augustus-431_pilon-processed-gene-12.58	0.463205263663577	GO:0000160|GO:0005515	Response regulator receiver domain, CCT motif	Signal transduction response regulator, receiver domain, CCT domain
maker-431_pilon-augustus-gene-16.2	NA	GO:0046872|GO:0016787	Heavy-metal-associated domain, Peptidase family M20/M25/M40	Heavy metal-associated domain, HMA, Peptidase M20
maker-431_pilon-snap-gene-17.220	0.242568813135424	GO:0003677|GO:0006355	No apical meristem (NAM) protein	NAC domain
maker-216_pilon-augustus-gene-1.14	0.117455782727903	GO:0005515	Kelch motif, F-box domain	Kelch repeat type 1, Kelch repeat type 2, F-box domain
maker-216_pilon-snap-gene-6.111	NA	GO:0004497|GO:0005506|GO:0016705|GO:0020037	Cytochrome P450	Cytochrome P450
evm-216_pilon-processed-gene-15.0	0.312169776020696	GO:0006269	Eukaryotic and archaeal DNA primase, large subunit	DNA primase large subunit, eukaryotic/archaeal
maker-216_pilon-augustus-gene-16.37	NA	GO:0016830|GO:0019752|GO:0030170	Pyridoxal-dependent decarboxylase conserved domain	Pyridoxal phosphate-dependent decarboxylase
snap_masked-216_pilon-processed-gene-20.54	1.05471965173308	GO:0005515|GO:0051087	IQ calmodulin-binding motif, BAG domain	IQ motif, EF-hand binding site, BAG domain
snap_masked-216_pilon-processed-gene-21.67	0.278276044337263	GO:0016020	Sugar efflux transporter for intercellular exchange	SWEET sugar transporter
snap-216_pilon-processed-gene-32.68	0.496548166936476	GO:0005515	SAM domain (Sterile alpha motif)	Sterile alpha motif domain
snap_masked-216_pilon-processed-gene-36.37	NA	GO:0009507	Light regulated protein Lir1	Light regulated Lir1
augustus-216_pilon-processed-gene-37.63	NA	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
augustus-216_pilon-processed-gene-47.72	0.545037593576386	GO:0008270	E motif, PPR repeat, DYW family of nucleic acid deaminases, PPR repeat family	E motif, Pentatricopeptide repeat, DYW domain
maker-707_pilon-snap-gene-0.37	NA	GO:0005783	Endoplasmic reticulum protein ERp29, C-terminal domain, Thioredoxin	Endoplasmic reticulum resident protein 29, C-terminal, Thioredoxin domain
maker-707_pilon-snap-gene-3.60	0.133856691932781	GO:0003697	Single-strand binding protein family	Primosome PriB/single-strand DNA-binding
augustus-544_pilon-processed-gene-0.7	0.430164159198773	GO:0030599|GO:0042545	Pectinesterase	Pectinesterase, catalytic
maker-420_pilon-augustus-gene-4.11	NA	GO:0005525|GO:0003924	Elongation factor Tu domain 2, Elongation factor Tu C-terminal domain, Elongation factor Tu GTP binding domain	Translation elongation factor EFTu-like, domain 2, Translation elongation factor EFTu/EF1A, C-terminal, Translational (tr)-type GTP-binding domain
snap-420_pilon-processed-gene-14.42	0.751424493536733	GO:0030247	Wall-associated receptor kinase galacturonan-binding, Wall-associated receptor kinase C-terminal	Wall-associated receptor kinase, galacturonan-binding domain, Wall-associated receptor kinase, C-terminal
snap-420_pilon-processed-gene-16.56	NA	GO:0016020|GO:0016757	Core-2/I-Branching enzyme	Glycosyl transferase, family 14
maker-420_pilon-snap-gene-19.15	NA	GO:0046983	Helix-loop-helix DNA-binding domain	Myc-type, basic helix-loop-helix (bHLH) domain
maker-420_pilon-snap-gene-22.68	0.073982123326625	GO:0031124	Transcription termination and cleavage factor C-terminal, Hinge domain of cleavage stimulation factor subunit 2	Transcription termination and cleavage factor, C-terminal domain, Cleavage stimulation factor subunit 2, hinge domain
maker-420_pilon-snap-gene-22.69	0.405147351971185	GO:0003677|GO:0006355	No apical meristem (NAM) protein	NAC domain
snap-420_pilon-processed-gene-24.152	0.54322526011891	GO:0003700|GO:0006355	AP2 domain	AP2/ERF domain
maker-795_pilon-augustus-gene-0.29	NA	GO:0016020	EamA-like transporter family	EamA domain
maker-73666_pilon-augustus-gene-3.50	NA	GO:0004672|GO:0005524|GO:0006468	Protein kinase domain	Protein kinase domain
augustus-73666_pilon-processed-gene-3.61	0.897912563075399	GO:0003676|GO:0008270	Zinc knuckle	Zinc finger, CCHC-type
